iter	Passed	Remaining
669	1412	695
670	1414	693
671	1416	691
672	1418	689
673	1420	686
674	1422	684
675	1424	682
676	1426	680
677	1428	678
678	1430	676
679	1432	674
680	1435	672
681	1437	670
682	1439	668
683	1441	666
684	1442	663
685	1445	661
686	1447	659
687	1449	657
688	1451	655
689	1453	653
690	1455	651
691	1457	648
692	1460	646
693	1463	645
694	1465	643
695	1467	640
696	1469	638
697	1471	636
698	1473	634
699	1475	632
700	1477	630
701	1479	627
702	1481	625
703	1483	623
704	1485	621
705	1487	619
706	1489	617
707	1491	615
708	1493	612
709	1495	610
710	1497	608
711	1499	606
712	1501	604
713	1503	602
714	1505	600
715	1507	597
716	1509	595
717	1511	593
718	1512	591
719	1514	589
720	1516	586
721	1518	584
722	1521	582
723	1523	580
724	1525	578
725	1527	576
726	1529	574
727	1531	572
728	1533	569
729	1535	567
730	1537	565
731	1539	563
732	1541	561
733	1543	559
734	1545	557
735	1547	555
736	1549	552
737	1551	550
738	1553	548
739	1555	546
740	1557	544
741	1559	542
742	1561	540
743	1563	538
744	1566	536
745	1568	534
746	1570	531
747	1572	529
748	1574	527
749	1577	525
750	1579	523
751	1581	521
752	1583	519
753	1585	517
754	1587	515
755	1589	513
756	1591	510
757	1593	508
758	1595	506
759	1597	504
760	1599	502
761	1601	500
762	1604	498
763	1606	496
764	1608	494
765	1610	492
766	1612	489
767	1614	487
768	1616	485
769	1618	483
770	1620	481
771	1622	479
772	1624	477
773	1626	474
774	1628	472
775	1631	470
776	1633	468
777	1635	466
778	1637	464
779	1639	462
780	1641	460
781	1643	458
782	1645	456
783	1647	453
784	1649	451
785	1651	449
786	1653	447
787	1655	445
788	1657	443
789	1659	441
790	1661	439
791	1664	437
792	1666	434
793	1668	432
794	1669	430
795	1672	428
796	1674	426
797	1676	424
798	1678	422
799	1680	420
800	1682	418
801	1684	415
802	1686	413
803	1688	411
804	1690	409
805	1693	407
806	1695	405
807	1697	403
808	1699	401
809	1701	399
810	1703	397
811	1705	394
812	1708	392
813	1709	390
814	1711	388
815	1713	386
816	1716	384
817	1718	382
818	1720	380
819	1722	378
820	1724	375
821	1726	373
822	1728	371
823	1730	369
824	1732	367
825	1735	365
826	1736	363
827	1738	361
828	1741	359
829	1744	357
830	1746	355
831	1748	353
832	1750	350
833	1752	348
834	1754	346
835	1756	344
836	1758	342
837	1761	340
838	1763	338
839	1765	336
840	1767	334
841	1768	331
842	1771	329
843	1773	327
844	1775	325
845	1777	323
846	1779	321
847	1781	319
848	1783	317
849	1785	315
850	1787	313
851	1789	310
852	1792	308
853	1794	306
854	1796	304
855	1798	302
856	1801	300
857	1802	298
858	1804	296
859	1806	294
860	1808	291
861	1810	289
862	1812	287
863	1814	285
864	1816	283
865	1818	281
866	1820	279
867	1822	277
868	1825	275
869	1827	273
870	1829	270
871	1831	268
872	1833	266
873	1834	264
874	1836	262
875	1838	260
876	1840	258
877	1842	256
878	1844	253
879	1846	251
880	1848	249
881	1850	247
882	1852	245
883	1855	243
884	1857	241
885	1859	239
886	1861	237
887	1863	235
888	1865	232
889	1867	230
890	1869	228
891	1871	226
892	1873	224
893	1875	222
894	1877	220
895	1880	218
896	1881	216
897	1884	214
898	1886	211
899	1888	209
900	1890	207
901	1892	205
902	1894	203
903	1896	201
904	1899	199
905	1901	197
906	1903	195
907	1905	193
908	1907	190
909	1910	188
910	1912	186
911	1914	184
912	1916	182
913	1919	180
914	1921	178
915	1923	176
916	1925	174
917	1928	172
918	1930	170
919	1932	168
920	1934	165
921	1936	163
922	1938	161
923	1940	159
924	1942	157
925	1944	155
926	1946	153
927	1949	151
928	1951	149
929	1953	147
930	1955	144
931	1957	142
932	1959	140
933	1961	138
934	1963	136
935	1965	134
936	1967	132
937	1969	130
938	1972	128
939	1974	126
940	1976	123
941	1978	121
942	1980	119
943	1982	117
944	1985	115
945	1987	113
946	1989	111
947	1991	109
948	1993	107
949	1995	105
950	1997	102
951	1999	100
952	2001	98
953	2003	96
954	2005	94
955	2007	92
956	2009	90
957	2011	88
958	2013	86
959	2015	83
960	2017	81
961	2019	79
962	2021	77
963	2023	75
964	2025	73
965	2027	71
966	2029	69
967	2032	67
968	2034	65
969	2036	62
970	2038	60
971	2040	58
972	2042	56
973	2044	54
974	2046	52
975	2048	50
976	2050	48
977	2052	46
978	2055	44
979	2057	41
980	2059	39
981	2062	37
982	2064	35
983	2066	33
984	2068	31
985	2070	29
986	2072	27
987	2075	25
988	2077	23
989	2079	21
990	2081	18
991	2084	16
992	2086	14
993	2088	12
994	2090	10
995	2092	8
996	2094	6
997	2096	4
998	2098	2
999	2100	0
