iter	Logloss
0	0.6874471862
1	0.6812164122
2	0.6753549422
3	0.6701690695
4	0.6646096644
5	0.6590470413
6	0.6539510784
7	0.6484745315
8	0.643452089
9	0.6380793377
10	0.6340414976
11	0.6291378406
12	0.6246981115
13	0.6204981261
14	0.6164171609
15	0.6118139756
16	0.607651381
17	0.6034799859
18	0.5992559634
19	0.5947302704
20	0.5909184541
21	0.5866895859
22	0.5830206277
23	0.5785606803
24	0.575012591
25	0.5713221963
26	0.5672742388
27	0.5639499397
28	0.5602932581
29	0.5570746485
30	0.5535524999
31	0.5505933189
32	0.5470943415
33	0.5438646779
34	0.5405115493
35	0.5375138943
36	0.5349188324
37	0.5322520718
38	0.5295406354
39	0.5269374504
40	0.524155386
41	0.5214766657
42	0.5190018183
43	0.5163188349
44	0.5140852493
45	0.5119235734
46	0.5093411131
47	0.5068243561
48	0.504132346
49	0.5016344746
50	0.4997722273
51	0.4972049633
52	0.4951162974
53	0.4930029552
54	0.4907563651
55	0.4887299096
56	0.4867029545
57	0.4844792489
58	0.4822224578
59	0.4800654516
60	0.4784893417
61	0.4763308261
62	0.4745193514
63	0.4727315646
64	0.4708000385
65	0.4692973416
66	0.4678260346
67	0.4657732298
68	0.4644008459
69	0.4626037145
70	0.4610352367
71	0.4595576031
72	0.4578229596
73	0.4561324891
74	0.454474159
75	0.4531769919
76	0.451477224
77	0.4499098219
78	0.4485473211
79	0.4473485721
80	0.4458669143
81	0.4444416526
82	0.4432542331
83	0.4418521129
84	0.4404514887
85	0.4392751316
86	0.43807256
87	0.4369447924
88	0.4354261535
89	0.4341443955
90	0.4330500013
91	0.4320262133
92	0.4307487307
93	0.4293731158
94	0.4287828941
95	0.4280784772
96	0.4273271918
97	0.4266871077
98	0.4257725929
99	0.4244599472
100	0.4235891635
101	0.4226752901
102	0.4216051595
103	0.4206626599
104	0.4197715644
105	0.4188971584
106	0.4180880539
107	0.4171933262
108	0.4162863632
109	0.415620547
110	0.4150832689
111	0.4142777717
112	0.4135688344
113	0.4124984273
114	0.4121204665
115	0.4111687939
116	0.4108162519
117	0.4100969309
118	0.4091780421
119	0.408280274
120	0.4074978277
121	0.4068494458
122	0.4062215766
123	0.4052454214
124	0.4045375163
125	0.4038970469
126	0.4035181226
127	0.4027632981
128	0.4019649973
129	0.4017493372
130	0.4011743152
131	0.4007792202
132	0.4000565113
133	0.3992185783
134	0.3983857361
135	0.397760322
136	0.3973215139
